transition,test_size,trades,hit_rate,eur_per_mwh,total_pnl_eur,pct_traded
DAM → BM,13783,4258,0.7036,33.75,480887.04,0.30893129217151566
IDA1 → BM,13829,4064,0.6528,17.67,271178.15,0.29387518981849736
IDA2 → BM,6928,1850,0.6384,17.36,95731.73,0.2670323325635104
DAM → IDA1,13653,7350,0.8093,14.11,375056.06,0.5383432212700505
IDA3 → BM,3467,907,0.5921,9.64,33689.05,0.2616094606287857
IDA1 → IDA2,6857,2776,0.5843,7.18,83058.07,0.40484176753682366
IDA2 → IDA3,3417,952,0.5998,7.96,26469.34,0.27860696517412936
